PREFIXO SIGMA;NOME DA LINHA;SERVICO;LOCALIDADE;HORARIO;DIA_PARTIDA;TIPO_VEICULO;FREQUENCIA;LAT;LON;SENTIDO;SEQUENCIA
CESP0213084;FORTALEZA(CE) - SAO PAULO(SP);39570900;SAO PAULO;09:00;D+0;SEMILEITO - MISTO 26 LUGARES;Domingo;-23,5673865;-46,57038318;VOLTA;1
CESP0213084;FORTALEZA(CE) - SAO PAULO(SP);39570900;SAO JOSE DOS CAMPOS;10:30;D+0;SEMILEITO - MISTO 26 LUGARES;Domingo;-23,1840615;-45,8841754;VOLTA;2
CESP0213084;FORTALEZA(CE) - SAO PAULO(SP);39570900;VOLTA REDONDA;14:30;D+0;SEMILEITO - MISTO 26 LUGARES;Domingo;-22,5099676;-44,09352188;VOLTA;3
CESP0213084;FORTALEZA(CE) - SAO PAULO(SP);39570900;TRES RIOS;16:30;D+0;SEMILEITO - MISTO 26 LUGARES;Domingo;-22,117448;-43,21160944;VOLTA;4
CESP0213084;FORTALEZA(CE) - SAO PAULO(SP);39570900;LEOPOLDINA;20:30;D+0;SEMILEITO - MISTO 26 LUGARES;Domingo;-21,53072936;-42,64184413;VOLTA;5
CESP0213084;FORTALEZA(CE) - SAO PAULO(SP);39570900;GOVERNADOR VALADARES;01:40;D+1;SEMILEITO - MISTO 26 LUGARES;Domingo;-18,8528824;-41,94708133;VOLTA;6
CESP0213084;FORTALEZA(CE) - SAO PAULO(SP);39570900;TEOFILO OTONI;04:30;D+1;SEMILEITO - MISTO 26 LUGARES;Domingo;-17,86253981;-41,50963517;VOLTA;7
CESP0213084;FORTALEZA(CE) - SAO PAULO(SP);39570900;ITAOBIM;06:50;D+1;SEMILEITO - MISTO 26 LUGARES;Domingo;-16,55952592;-41,49897698;VOLTA;8
CESP0213084;FORTALEZA(CE) - SAO PAULO(SP);39570900;VITORIA DA CONQUISTA;10:00;D+1;SEMILEITO - MISTO 26 LUGARES;Domingo;-14,84800481;-40,83980954;VOLTA;9
CESP0213084;FORTALEZA(CE) - SAO PAULO(SP);39570900;JEQUIE;12:30;D+1;SEMILEITO - MISTO 26 LUGARES;Domingo;-13,85566401;-40,08860733;VOLTA;10
CESP0213084;FORTALEZA(CE) - SAO PAULO(SP);39570900;MILAGRES;14:45;D+1;SEMILEITO - MISTO 26 LUGARES;Domingo;-12,87057492;-39,8591271;VOLTA;11
CESP0213084;FORTALEZA(CE) - SAO PAULO(SP);39570900;FEIRA DE SANTANA;17:25;D+1;SEMILEITO - MISTO 26 LUGARES;Domingo;-12,22928425;-38,9600331;VOLTA;12
CESP0213084;FORTALEZA(CE) - SAO PAULO(SP);39570900;BARRO;11:00;D+2;SEMILEITO - MISTO 26 LUGARES;Domingo;-7,168208727;-38,77988065;VOLTA;13
CESP0213084;FORTALEZA(CE) - SAO PAULO(SP);39570900;JAGUARIBE;12:40;D+2;SEMILEITO - MISTO 26 LUGARES;Domingo;-5,886459045;-38,62300505;VOLTA;14
CESP0213084;FORTALEZA(CE) - SAO PAULO(SP);39570900;FORTALEZA;18:00;D+2;SEMILEITO - MISTO 26 LUGARES;Domingo;-3,723805035;-38,58992756;VOLTA;15
CESP0213084;FORTALEZA(CE) - SAO PAULO(SP);395721000;FORTALEZA;10:00;D+0;SEMILEITO - MISTO 26 LUGARES;Quarta;-3,723805035;-38,58992756;IDA;1
CESP0213084;FORTALEZA(CE) - SAO PAULO(SP);395721000;JAGUARIBE;14:40;D+0;SEMILEITO - MISTO 26 LUGARES;Quarta;-5,886459045;-38,62300505;IDA;2
CESP0213084;FORTALEZA(CE) - SAO PAULO(SP);395721000;BARRO;16:20;D+0;SEMILEITO - MISTO 26 LUGARES;Quarta;-7,168208727;-38,77988065;IDA;3
CESP0213084;FORTALEZA(CE) - SAO PAULO(SP);395721000;FEIRA DE SANTANA;11:15;D+1;SEMILEITO - MISTO 26 LUGARES;Quarta;-12,22928425;-38,9600331;IDA;4
CESP0213084;FORTALEZA(CE) - SAO PAULO(SP);395721000;MILAGRES;15:20;D+1;SEMILEITO - MISTO 26 LUGARES;Quarta;-12,87057492;-39,8591271;IDA;5
CESP0213084;FORTALEZA(CE) - SAO PAULO(SP);395721000;JEQUIE;17:35;D+1;SEMILEITO - MISTO 26 LUGARES;Quarta;-13,85566401;-40,08860733;IDA;6
